"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"169","L_LNstair",0.298673454180096,0.0278225141885523,0.0913684377779668,"Left","Near","Upright","040",-0.5,-0.5,-0.5
"170","L_LFstair",0.328300223858814,0.0264616755043358,0.0871824741615703,"Left","Far","Upright","040",0,-0.5,-0.5
"171","L_LPstair",0.474818598080715,0.0427619009908217,0.117539226051764,"Left","Peripheral","Upright","040",0.5,-0.5,-0.5
"172","L_RNstair",0.309157714105321,0.0274676341326404,0.0899755345689466,"Right","Near","Upright","040",-0.5,0.5,-0.5
"173","L_RFstair",0.317776182521057,0.026623045194644,0.0875538435208239,"Right","Far","Upright","040",0,0.5,-0.5
"174","L_RPstair",0.286131854495719,0.0796527052084573,0.277408691299744,"Right","Peripheral","Upright","040",0.5,0.5,-0.5
"175","G_LNstair",0.752393641367306,0.0272684948856226,0.0904171834243552,"Left","Near","Gabor","040",-0.5,-0.5,0.5
"176","G_LFstair",0.498295087177557,0.0254098303057541,0.08426118946267,"Left","Far","Gabor","040",0,-0.5,0.5
"177","G_LPstair",0.715998798620444,0.0278464600471841,0.0921005423271777,"Left","Peripheral","Gabor","040",0.5,-0.5,0.5
"178","G_RNstair",0.578652496642458,0.0271793122509409,0.0891853148895566,"Right","Near","Gabor","040",-0.5,0.5,0.5
"179","G_RFstair",0.435083515504481,0.0277211468099301,0.091244845504446,"Right","Far","Gabor","040",0,0.5,0.5
"180","G_RPstair",0.521512062484344,0.0256071979413347,0.0846227900892574,"Right","Peripheral","Gabor","040",0.5,0.5,0.5
"181","L_LNstair",0.135767953138413,0.0290130817544433,0.0955635990532628,"Left","Near","Upright","041",-0.5,-0.5,-0.5
"182","L_LFstair",0.17293243180408,0.0281196350797021,0.0928801591266465,"Left","Far","Upright","041",0,-0.5,-0.5
"183","L_LPstair",0.610771047611933,0.0274248879357438,0.0895207662125818,"Left","Peripheral","Upright","041",0.5,-0.5,-0.5
"184","L_RNstair",0.220227953104405,0.0281719292911827,0.0924695354726404,"Right","Near","Upright","041",-0.5,0.5,-0.5
"185","L_RFstair",0.209688429819086,0.0268794803413557,0.088298763580915,"Right","Far","Upright","041",0,0.5,-0.5
"186","L_RPstair",0.755993613793516,0.0409355265912158,0.128246011638485,"Right","Peripheral","Upright","041",0.5,0.5,-0.5
"187","G_LNstair",0.47516589211274,0.0257691595383086,0.0852249716819332,"Left","Near","Gabor","041",-0.5,-0.5,0.5
"188","G_LFstair",0.805261539830694,0.027110091010325,0.0899221018258322,"Left","Far","Gabor","041",0,-0.5,0.5
"189","G_LPstair",0.675412972240123,0.0259230047703308,0.0857278241884561,"Left","Peripheral","Gabor","041",0.5,-0.5,0.5
"190","G_RNstair",0.414555011097235,0.0262525666015568,0.0870952328547616,"Right","Near","Gabor","041",-0.5,0.5,0.5
"191","G_RFstair",0.859740453724015,0.0298856967928405,0.0981915198006711,"Right","Far","Gabor","041",0,0.5,0.5
"192","G_RPstair",0.470137607385449,0.0261610957644778,0.0863052555721042,"Right","Peripheral","Gabor","041",0.5,0.5,0.5
"193","L_LNstair",0.307822909653554,0.0266440658547,0.0876114788720502,"Left","Near","Upright","042",-0.5,-0.5,-0.5
"194","L_LFstair",0.277404497084178,0.0272357857385483,0.0896445820971756,"Left","Far","Upright","042",0,-0.5,-0.5
"195","L_LPstair",0.58829782712334,0.0261075606831244,0.0862210736112461,"Left","Peripheral","Upright","042",0.5,-0.5,-0.5
"196","L_RNstair",0.206845537241456,0.0281942337320794,0.092857114136955,"Right","Near","Upright","042",-0.5,0.5,-0.5
"197","L_RFstair",0.590616980415243,0.0343308654668071,0.1063938507593,"Right","Far","Upright","042",0,0.5,-0.5
"198","L_RPstair",0.412901212760404,0.0820411493877135,0.267276500673044,"Right","Peripheral","Upright","042",0.5,0.5,-0.5
"199","G_LNstair",0.52322559812944,0.0523374676367309,0.152699142627033,"Left","Near","Gabor","042",-0.5,-0.5,0.5
"200","G_LFstair",0.723116099586887,0.0264380468159291,0.0875477512935314,"Left","Far","Gabor","042",0,-0.5,0.5
"201","G_RNstair",0.839821939619541,0.0282442431940091,0.0921515508408233,"Right","Near","Gabor","042",-0.5,0.5,0.5
"202","G_RFstair",0.531737641935896,0.0333323442277991,0.0989280440043053,"Right","Far","Gabor","042",0,0.5,0.5
"203","G_RPstair",0.657879093336025,0.0261967603662969,0.086344231555726,"Right","Peripheral","Gabor","042",0.5,0.5,0.5
"204","L_LNstair",0.134616630002612,0.0287061094497638,0.0947064507996545,"Left","Near","Upright","043",-0.5,-0.5,-0.5
"205","L_LFstair",0.174691290819688,0.0271571393178884,0.0902104993377626,"Left","Far","Upright","043",0,-0.5,-0.5
"206","L_LPstair",0.243310735487509,0.0307874905874171,0.101127987676177,"Left","Peripheral","Upright","043",0.5,-0.5,-0.5
"207","L_RNstair",0.170353756477176,0.0290317828512372,0.0958408835801204,"Right","Near","Upright","043",-0.5,0.5,-0.5
"208","L_RFstair",0.147378380416176,0.0272162805361597,0.0898315889110577,"Right","Far","Upright","043",0,0.5,-0.5
"209","L_RPstair",0.249342355466681,0.0311106735984258,0.102957151400801,"Right","Peripheral","Upright","043",0.5,0.5,-0.5
"210","G_LNstair",0.274203007286561,0.0654326192484932,0.210032894520609,"Left","Near","Gabor","043",-0.5,-0.5,0.5
"211","G_LFstair",0.380318350700994,0.0276338250816954,0.090028990941696,"Left","Far","Gabor","043",0,-0.5,0.5
"212","G_LPstair",0.670024182804162,0.0262528799539982,0.086633819309144,"Left","Peripheral","Gabor","043",0.5,-0.5,0.5
"213","G_RNstair",0.229498480573166,0.0290985298214385,0.096081180521329,"Right","Near","Gabor","043",-0.5,0.5,0.5
"214","G_RFstair",0.204104389868364,0.0507308520956624,0.164455750777696,"Right","Far","Gabor","043",0,0.5,0.5
"215","G_RPstair",0.216985322041903,0.0267303983487213,0.0883026378697769,"Right","Peripheral","Gabor","043",0.5,0.5,0.5
"216","L_LNstair",0.162226218465281,0.0284505505449132,0.0937753493602012,"Left","Near","Upright","044",-0.5,-0.5,-0.5
"217","L_LFstair",0.147582060786489,0.0283291174645498,0.0934238015052957,"Left","Far","Upright","044",0,-0.5,-0.5
